Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Dominica,16,0,14,2,0,0.0,87.5,0.0,71991,222.0,16,0,0.0
Dominican Republic,9882,385,2584,6913,506,3.9,26.15,14.9,10847904,911.0,13657,2411,17.65
Ecuador,29071,1717,3433,23921,253,5.91,11.81,50.01,17643060,1648.0,35306,3165,8.96
Egypt,8964,514,2002,6448,488,5.73,22.33,25.67,102334403,88.0,15003,5790,38.59
El Salvador,784,17,276,491,42,2.17,35.2,6.16,6486201,121.0,1640,554,33.78
Equatorial Guinea,439,4,13,422,0,0.91,2.96,30.77,1402985,313.0,903,140,15.5
Eritrea,39,0,37,2,0,0.0,94.87,0.0,3546427,11.0,39,0,0.0
Estonia,1733,60,747,926,8,3.46,43.1,8.03,1326539,1306.0,1800,51,2.83
Eswatini,163,2,14,147,4,1.23,8.59,14.29,1160164,140.0,220,59,26.82
Ethiopia,210,5,97,108,16,2.38,46.19,5.15,114963583,2.0,399,432,108.27
Fiji,18,0,14,4,0,0.0,77.78,0.0,896444,20.0,18,0,0.0
Finland,5880,265,4000,1615,142,4.51,68.03,6.62,5540718,1061.0,6493,250,3.85
France,176782,26313,56148,94321,580,14.88,31.76,46.86,68136441,2595.0,181951,4413,2.43
Gabon,661,8,110,543,41,1.21,16.64,7.27,2225728,297.0,1567,864,55.14
Gambia,20,1,9,10,0,5.0,45.0,11.11,2416664,8.0,24,1,4.17
Georgia,626,10,297,319,3,1.6,47.44,3.37,3989175,157.0,721,17,2.36
Germany,171324,7549,143300,20475,736,4.41,83.64,5.27,166803158,1027.0,179021,3175,1.77
Ghana,4263,22,378,3863,251,0.52,8.87,5.82,31072945,137.0,6269,1034,16.49
Greece,2710,151,1374,1185,19,5.57,50.7,10.99,10423056,260.0,2853,53,1.86
Grenada,21,0,13,8,0,0.0,61.9,0.0,112519,187.0,22,1,4.55
Guatemala,967,24,104,839,67,2.48,10.75,23.08,17915567,54.0,2512,1836,73.09
Guinea,2042,11,698,1333,33,0.54,34.18,1.58,13132792,155.0,3067,486,15.85
Guinea-Bissau,641,3,25,613,47,0.47,3.9,12.0,1967998,326.0,1109,86,7.75
Guyana,94,10,35,49,0,10.64,37.23,28.57,786559,120.0,127,23,18.11
Haiti,151,12,17,122,5,7.95,11.26,70.59,11402533,13.0,734,586,79.84
Holy See,12,0,2,10,0,0.0,16.67,0.0,809,14833.0,12,0,0.0
Honduras,1830,108,195,1527,59,5.9,10.66,55.38,9904608,185.0,3204,1548,48.31
Hungary,3213,405,904,1904,35,12.61,28.14,44.8,9660350,333.0,3641,175,4.81
Iceland,1801,10,1773,18,0,0.56,98.45,0.56,341250,5278.0,1803,2,0.11
India,62808,2101,19301,41406,3113,3.35,30.73,10.89,1380004385,46.0,118226,47160,39.89
Indonesia,13645,959,2607,10079,533,7.03,19.11,36.79,273523621,50.0,20162,4376,21.7
Iran,106220,6589,85064,14567,1529,6.2,80.08,7.75,83992953,1265.0,129341,14508,11.22
Iraq,2679,107,1702,870,76,3.99,63.53,6.29,40222503,67.0,3877,1580,40.75
Ireland,22760,1446,17110,4204,219,6.35,75.18,8.45,4937796,4609.0,24391,450,1.84
Israel,16454,247,11376,4831,18,1.5,69.14,2.17,8655541,1901.0,16683,189,1.13
Italy,218268,30395,103031,84842,1083,13.93,47.2,29.5,120822834,1807.0,228006,3726,1.63
Jamaica,490,9,62,419,0,1.84,12.65,14.52,2961161,165.0,534,35,6.55
Japan,15663,607,5906,9150,88,3.88,37.71,10.28,252643406,62.0,16424,174,1.06
Jordan,522,9,387,126,14,1.72,74.14,2.33,10203140,51.0,684,44,6.43
Kazakhstan,4975,31,1776,3168,141,0.62,35.7,1.75,18776707,265.0,7234,2342,32.37
Kenya,649,30,207,412,28,4.62,31.9,14.49,53771300,12.0,1109,509,45.9
"Korea, South",10874,256,9610,1008,34,2.35,88.38,2.66,51269183,212.0,11142,260,2.33
Kosovo,862,28,622,212,1,3.25,72.16,4.5,1793000,481.0,1003,45,4.49
Kuwait,7623,49,2622,4952,415,0.64,34.4,1.87,4270563,1785.0,18609,5503,29.57
Kyrgyzstan,931,12,658,261,25,1.29,70.68,1.82,6524191,143.0,1313,281,21.4
Laos,19,0,13,6,0,0.0,68.42,0.0,7275556,3.0,19,0,0.0
Latvia,930,18,464,448,2,1.94,49.89,3.88,1886202,493.0,1025,36,3.51
Lebanon,809,26,234,549,13,3.21,28.92,11.11,6825442,119.0,1024,144,14.06
Lesotho,0,0,0,0,0,0.0,0.0,0.0,2142252,0.0,1,1,100.0
Liberia,199,20,79,100,0,10.05,39.7,25.32,5057677,39.0,240,29,12.08
Libya,64,3,24,37,0,4.69,37.5,12.5,6871287,9.0,71,34,47.89
Liechtenstein,82,1,55,26,0,1.22,67.07,1.82,38137,2150.0,82,0,0.0
Lithuania,1444,49,828,567,8,3.39,57.34,5.92,2722291,530.0,1593,63,3.95
Luxembourg,3877,101,3550,226,6,2.61,91.57,2.85,625976,6194.0,3980,28,0.7
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,193,0,101,92,0,0.0,52.33,0.0,27691019,7.0,405,251,61.98
Malawi,56,3,14,39,13,5.36,25.0,21.43,19129955,3.0,72,131,181.94
Malaysia,6589,108,4929,1552,54,1.64,74.81,2.19,32365998,204.0,7059,570,8.07
Maldives,790,3,29,758,46,0.38,3.67,10.34,540542,1461.0,1216,297,24.42
Mali,692,37,298,357,24,5.35,43.06,12.42,20250834,34.0,947,247,26.08
Malta,490,5,427,58,1,1.02,87.14,1.17,441539,1110.0,599,17,2.84
Mauritania,8,1,6,1,0,12.5,75.0,16.67,4649660,2.0,173,173,100.0
Mauritius,332,10,320,2,0,3.01,96.39,3.12,1271767,261.0,332,2,0.6
Mexico,33460,3353,21824,8283,1938,10.02,65.22,15.36,255584572,131.0,59567,21833,36.65
Moldova,4867,161,1925,2781,139,3.31,39.55,8.36,4033963,1207.0,6704,1021,15.23
Monaco,96,4,82,10,1,4.17,85.42,4.88,39244,2446.0,97,1,1.03
Mongolia,42,0,14,28,0,0.0,33.33,0.0,3278292,13.0,140,21,15.0
Montenegro,324,8,274,42,0,2.47,84.57,2.92,628062,516.0,324,0,0.0
Morocco,5910,186,2461,3263,199,3.15,41.64,7.56,36910558,160.0,7211,432,5.99
Mozambique,87,0,34,53,5,0.0,39.08,0.0,31255435,3.0,162,71,43.83
Namibia,16,0,10,6,0,0.0,62.5,0.0,2540916,6.0,18,4,22.22
Nepal,110,0,31,79,8,0.0,28.18,0.0,29136808,4.0,457,585,128.01
Netherlands,42581,5441,149,36991,289,12.78,0.35,3651.68,17474842,2437.0,44900,1252,2.79
New Zealand,1494,21,1371,102,2,1.41,91.77,1.53,4822233,310.0,1504,0,0.0
Nicaragua,16,5,7,4,0,31.25,43.75,71.43,6624554,2.0,279,480,172.04
Niger,815,45,617,153,20,5.52,75.71,7.29,24206636,34.0,924,31,3.35
Nigeria,4151,128,745,3278,239,3.08,17.95,17.18,206139587,20.0,7016,1899,27.07
North Macedonia,1622,91,1112,419,36,5.61,68.56,8.18,2083380,779.0,1898,179,9.43
Norway,8099,219,32,7848,29,2.7,0.4,684.38,5421242,1494.0,8309,102,1.23
Oman,3224,17,1068,2139,112,0.53,33.13,1.59,5106622,631.0,6370,2639,41.43
Pakistan,28736,636,7809,20291,2301,2.21,27.17,8.14,220892331,130.0,48091,13136,27.31
Panama,8282,237,4501,3544,212,2.86,54.35,5.27,4314768,1919.0,10116,2015,19.92
Papua New Guinea,8,0,8,0,0,0.0,100.0,0.0,8947027,1.0,8,0,0.0
Paraguay,689,10,155,524,126,1.45,22.5,6.45,7132530,97.0,836,64,7.66
Peru,65015,1814,20246,42955,3168,2.79,31.14,8.96,65597846,991.0,108769,33010,30.35
Philippines,10610,704,1842,8064,147,6.64,17.36,38.22,109581085,97.0,13434,2154,16.03
Poland,15651,785,5437,9429,285,5.02,34.74,14.44,37846605,414.0,20143,2682,13.31
Portugal,27406,1126,2499,23781,138,4.11,9.12,45.06,10196707,2688.0,29912,1684,5.63
Qatar,21331,13,2449,18869,1130,0.06,11.48,0.53,2881060,7404.0,38651,12263,31.73
Romania,15131,939,6912,7280,320,6.21,45.68,13.59,19237682,787.0,17585,1206,6.86
Russia,198676,1827,31916,164933,10817,0.92,16.06,5.72,145934460,1361.0,317554,61497,19.37
Rwanda,280,0,140,140,7,0.0,50.0,0.0,12952209,22.0,320,29,9.06
Saint Kitts and Nevis,15,0,14,1,0,0.0,93.33,0.0,53109,282.0,15,0,0.0
Saint Lucia,18,0,17,1,0,0.0,94.44,0.0,183629,98.0,18,0,0.0
Saint Vincent and the Grenadines,17,0,9,8,0,0.0,52.94,0.0,110854,153.0,18,7,38.89
San Marino,637,41,126,470,14,6.44,19.78,32.54,33938,18770.0,658,12,1.82
Sao Tome and Principe,208,5,4,199,0,2.4,1.92,125.0,219159,949.0,251,207,82.47
Saudi Arabia,37136,239,10144,26753,1704,0.64,27.32,2.36,34813867,1067.0,65077,15108,23.22
Senegal,1634,17,643,974,83,1.04,39.35,2.64,16743930,98.0,2812,536,19.06
Serbia,10032,215,2732,7085,89,2.14,27.23,7.87,8737370,1148.0,10919,381,3.49
Seychelles,11,0,8,3,0,0.0,72.73,0.0,98340,112.0,11,0,0.0
Sierra Leone,291,18,58,215,34,6.19,19.93,31.03,7976985,36.0,585,227,38.8
Singapore,22460,20,2296,20144,753,0.09,10.22,0.87,5850343,3839.0,29812,3437,11.53
Slovakia,1455,26,919,510,0,1.79,63.16,2.83,5459643,267.0,1502,18,1.2
Slovenia,1454,101,255,1098,4,6.95,17.54,39.61,2078932,699.0,1468,5,0.34
Somalia,997,48,110,839,69,4.81,11.03,43.64,15893219,63.0,1594,234,14.68
South Africa,9420,186,3983,5251,525,1.97,42.28,4.67,59308690,159.0,19137,8266,43.19
South Sudan,120,0,2,118,0,0.0,1.67,0.0,11193729,11.0,481,513,106.65
Spain,223578,26478,133952,63148,721,11.84,59.91,19.77,93691843,2386.0,233037,4869,2.09
Sri Lanka,847,9,260,578,12,1.06,30.7,3.46,21413250,40.0,1055,475,45.02
Sudan,1164,64,119,981,53,5.5,10.22,53.78,43849269,27.0,3138,1208,38.5
Suriname,10,1,9,0,0,10.0,90.0,11.11,586634,17.0,11,1,9.09
Sweden,25921,3220,4971,17730,656,12.42,19.18,64.78,10099270,2567.0,32172,3555,11.05
Switzerland,30251,1830,26400,2021,44,6.05,87.27,6.93,8654618,3495.0,30694,102,0.33
Syria,47,3,29,15,0,6.38,61.7,10.34,17500657,3.0,58,64,110.34
Taiwan*,440,6,361,73,0,1.36,82.05,1.66,23806638,18.0,440,1,0.23
Tajikistan,612,20,0,592,90,3.27,0.0,inf,9537642,64.0,2350,1213,51.62
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3004,56,2787,161,4,1.86,92.78,2.01,69799978,43.0,3037,28,0.92
Timor-Leste,24,0,21,3,0,0.0,87.5,0.0,1318442,18.0,24,0,0.0
Togo,153,10,87,56,8,6.54,56.86,11.49,8278737,18.0,354,68,19.21
Trinidad and Tobago,116,8,104,4,0,6.9,89.66,7.69,1399491,83.0,116,0,0.0
Tunisia,1032,45,660,327,2,4.36,63.95,6.82,11818618,87.0,1046,22,2.1
Turkey,137115,3739,89480,43896,1546,2.73,65.26,4.18,84339067,1626.0,153548,7431,4.84
US,1309550,78795,212534,1018221,25621,6.02,16.23,37.07,330541757,3962.0,1577147,144606,9.17
Uganda,116,0,55,61,15,0.0,47.41,0.0,45741000,3.0,160,157,98.12
Ukraine,14710,376,2909,11425,515,2.56,19.78,12.93,43733759,336.0,19706,2676,13.58
United Arab Emirates,17417,185,4295,12937,624,1.06,24.66,4.31,9890400,1761.0,26898,5634,20.95
United Kingdom,216525,31662,1001,183862,3896,14.62,0.46,3163.04,68395658,3166.0,252246,18262,7.24
Uruguay,702,18,513,171,8,2.56,73.08,3.51,3473727,202.0,749,62,8.28
Uzbekistan,2349,10,1846,493,24,0.43,78.59,0.54,33469199,70.0,2964,480,16.19
Venezuela,402,10,190,202,14,2.49,47.26,5.26,28435943,14.0,882,443,50.23
Vietnam,288,0,241,47,0,0.0,83.68,0.0,97338583,3.0,324,3,0.93
West Bank and Gaza,375,2,228,145,0,0.53,60.8,0.88,4543126,83.0,423,23,5.44
Western Sahara,6,0,5,1,0,0.0,83.33,0.0,597330,10.0,6,3,50.0
Yemen,34,7,1,26,0,20.59,2.94,700.0,29825968,1.0,197,81,41.12
Zambia,252,7,112,133,85,2.78,44.44,6.25,18383956,14.0,866,191,22.06
Zimbabwe,35,4,9,22,1,11.43,25.71,44.44,14862927,2.0,51,98,192.16
